year,avg_thickness
1901,1.3600769602
1902,1.4766954693333334
1904,1.4031682966666663
1905,1.3717084941666666
1907,1.4170069388000002
1908,1.356046167833333
1911,1.538514690333333
1912,1.4229676998333332
1914,1.3990984914545452
1915,1.4086727192
1916,1.5052270322
1917,1.4068764462857144
1918,1.274634439333333
1920,1.4709929735555556
1921,1.489364985
1923,1.32568774025
1924,1.5044560222
1925,1.580236494
1926,1.4968414928
1927,1.3496724502500002
1929,1.359784887
1930,1.330696458
1931,1.436884929
1933,1.2204820335
1934,1.36451011425
1935,1.391088266
1936,1.388382273
1937,1.4615534345416668
1938,1.4163879497499998
1939,1.4721892598
1940,1.327996371
1941,1.504257305846154
1942,1.4822422480000002
1943,1.42579916525
1944,1.410898514809524
1945,1.387742014769231
1946,1.2623933974285713
1947,1.2301559409743583
1948,1.2022882881463417
1949,1.1212164596999998
1950,1.11310939875
1951,1.2651163874545457
1952,1.1672193775
1953,1.0240320283333333
1954,0.929899584
1955,1.1255643990000002
1956,1.1060434824
1957,1.1638912768235294
1958,1.047331221
1959,1.1207669641666669
1960,1.2271410665
1961,1.302900709
1962,1.1288731911111112
1963,1.15364976675
1964,1.3254994234
1965,1.170464268428571
1966,1.1933024658
1967,1.224163606
